Equipment_ID,Equipment_Type,Temperature_Avg(C),Humidity_Avg(%),Last_Maintenance_Days_Ago,Failure_Reason,Failure_Probability,Maintenance_Level_Required,Downtime_Hours
EQ-0685,CT Scanner,23.08,59.19,62,Power Surge,0.483,Medium,65
EQ-0686,MRI Machine,48.12,76.3,48,Overheating,0.383,Medium,53
EQ-0687,MRI Machine,40.64,72.27,75,Calibration Issue,0.839,High,67
EQ-0688,CT Scanner,22.04,65.96,174,Power Surge,0.145,Medium,18
EQ-0689,Ventilator,29.03,67.31,108,Power Surge,0.506,Low,9
EQ-0690,MRI Machine,41.25,59.9,182,Calibration Issue,0.062,High,38
EQ-0691,MRI Machine,22.02,35.62,191,Mechanical Wear,0.071,Low,21
EQ-0692,MRI Machine,37.47,74.43,64,Power Surge,0.574,Low,65
EQ-0693,CT Scanner,30.38,60.24,336,Overheating,0.566,Low,21
EQ-0694,Blood Testing Device,38.63,53.63,270,Power Surge,0.878,High,27
EQ-0695,MRI Machine,21.37,26.66,99,Overheating,0.558,Medium,70
EQ-0696,Blood Testing Device,46.15,46.82,31,Overheating,0.96,Low,44
EQ-0697,Ventilator,49.2,47.62,351,Power Surge,0.049,Low,28
EQ-0698,MRI Machine,49.07,71.87,127,Power Surge,0.098,Low,45
EQ-0699,MRI Machine,42.49,52.8,338,Overheating,0.044,Medium,17
EQ-0700,Ventilator,23.9,42.82,42,Calibration Issue,0.185,Medium,40
EQ-0701,MRI Machine,42.75,78.61,77,Calibration Issue,0.541,High,3
EQ-0702,Blood Testing Device,20.74,26.64,313,Power Surge,0.646,Medium,66
EQ-0703,CT Scanner,20.66,45.35,288,Mechanical Wear,0.046,High,46
EQ-0704,Blood Testing Device,29.71,22.52,269,Calibration Issue,0.946,High,30
EQ-0705,CT Scanner,34.66,64.39,161,Power Surge,0.842,High,69
EQ-0706,CT Scanner,43.11,75.08,188,Calibration Issue,0.297,High,9
EQ-0707,Blood Testing Device,40.5,36.8,246,Mechanical Wear,0.077,High,11
EQ-0708,Blood Testing Device,33.38,71.5,215,Power Surge,0.17,Low,69
EQ-0709,Blood Testing Device,28.21,37.53,314,Mechanical Wear,0.127,Medium,66
EQ-0710,Blood Testing Device,49.91,74.65,338,Power Surge,0.123,Low,31
EQ-0711,Ventilator,32.79,65.24,167,Mechanical Wear,0.519,High,33
EQ-0712,MRI Machine,33.54,68.29,338,Calibration Issue,0.246,Medium,39
EQ-0713,CT Scanner,24.91,21.08,192,Calibration Issue,0.358,Low,46
EQ-0714,Blood Testing Device,43.84,77.77,282,Mechanical Wear,0.99,Low,37
EQ-0715,Blood Testing Device,40.81,63.6,335,Mechanical Wear,0.684,High,60
EQ-0716,Blood Testing Device,26.62,38.29,12,Mechanical Wear,0.949,Low,31
EQ-0717,Ventilator,22.47,69.76,239,Power Surge,0.143,Low,11
EQ-0718,Blood Testing Device,40.41,36.89,319,Calibration Issue,0.382,Low,2
EQ-0719,Blood Testing Device,39.64,72.37,146,Power Surge,0.555,Low,27
EQ-0720,Blood Testing Device,28.2,26.75,203,Calibration Issue,0.077,Low,2
EQ-0721,MRI Machine,48.53,62.22,79,Overheating,0.004,High,21
EQ-0722,Ventilator,24.53,52.44,42,Power Surge,0.67,High,58
EQ-0723,Blood Testing Device,32.97,25.79,88,Calibration Issue,0.642,Low,5
EQ-0724,CT Scanner,48.31,34.51,147,Calibration Issue,0.411,High,52
EQ-0725,CT Scanner,32.59,20.74,94,Power Surge,0.49,High,45
EQ-0726,CT Scanner,39.16,48.13,150,Power Surge,0.415,Medium,20
EQ-0727,Ventilator,31.93,38.08,1,Calibration Issue,0.024,Low,61
EQ-0728,Ventilator,28.23,55.9,21,Power Surge,0.335,High,38
EQ-0729,CT Scanner,49.52,37.83,312,Mechanical Wear,0.177,High,20
EQ-0730,Blood Testing Device,32.28,38.0,327,Power Surge,0.098,Low,25
EQ-0731,Ventilator,46.82,64.59,6,Power Surge,0.957,Medium,2
EQ-0732,CT Scanner,26.9,22.89,205,Power Surge,0.599,Low,32
EQ-0733,CT Scanner,26.39,74.17,113,Calibration Issue,0.729,Medium,26
EQ-0734,Blood Testing Device,20.93,71.14,271,Mechanical Wear,0.315,Low,70
EQ-0735,MRI Machine,39.55,60.07,82,Overheating,0.393,Low,41
EQ-0736,Ventilator,31.06,55.59,178,Overheating,0.237,Low,67
EQ-0737,Blood Testing Device,45.93,73.54,209,Mechanical Wear,0.097,Low,1
EQ-0738,CT Scanner,34.2,31.12,327,Mechanical Wear,0.179,Medium,51
EQ-0739,CT Scanner,49.05,24.74,123,Mechanical Wear,0.798,Medium,5
EQ-0740,Blood Testing Device,25.57,34.37,112,Calibration Issue,0.678,High,13
EQ-0741,Ventilator,46.06,67.67,11,Overheating,0.547,Low,19
EQ-0742,MRI Machine,43.3,22.08,125,Mechanical Wear,0.475,Medium,12
EQ-0743,MRI Machine,43.13,54.97,52,Calibration Issue,0.922,Medium,48
EQ-0744,CT Scanner,45.34,79.73,330,Overheating,0.073,Medium,25
EQ-0745,Ventilator,42.83,71.34,282,Power Surge,0.281,Low,57
EQ-0746,MRI Machine,38.79,51.29,139,Calibration Issue,0.35,High,35
EQ-0747,Ventilator,23.94,23.82,96,Overheating,0.782,Medium,5
EQ-0748,Ventilator,20.98,69.88,4,Calibration Issue,0.993,Low,22
EQ-0749,CT Scanner,47.63,55.94,56,Overheating,0.241,Medium,57
EQ-0750,MRI Machine,38.5,26.9,333,Overheating,0.874,Medium,47
EQ-0751,Blood Testing Device,43.9,25.63,68,Power Surge,0.831,High,54
EQ-0752,CT Scanner,34.45,74.58,117,Calibration Issue,0.225,Medium,3
EQ-0753,MRI Machine,23.52,60.15,58,Mechanical Wear,0.399,Medium,53
EQ-0754,MRI Machine,23.76,69.76,32,Power Surge,0.41,Low,31
EQ-0755,MRI Machine,40.57,72.74,317,Power Surge,0.978,Low,69
EQ-0756,MRI Machine,32.91,54.31,49,Overheating,0.181,High,33
EQ-0757,MRI Machine,26.02,51.05,18,Mechanical Wear,0.799,Low,50
EQ-0758,Ventilator,34.75,45.83,213,Calibration Issue,0.334,Low,16
EQ-0759,CT Scanner,21.93,39.02,196,Mechanical Wear,0.731,High,39
EQ-0760,Ventilator,37.46,46.08,46,Mechanical Wear,0.42,Medium,46
EQ-0761,Blood Testing Device,28.07,66.43,166,Mechanical Wear,0.578,High,47
EQ-0762,MRI Machine,43.93,56.12,288,Mechanical Wear,0.833,Low,44
EQ-0763,CT Scanner,29.31,73.55,140,Mechanical Wear,0.804,High,9
EQ-0764,MRI Machine,33.66,46.6,83,Overheating,0.866,Medium,50
EQ-0765,CT Scanner,20.35,56.43,181,Overheating,0.06,High,60
EQ-0766,Ventilator,22.17,57.88,78,Power Surge,0.692,Low,15
EQ-0767,CT Scanner,31.77,55.5,214,Overheating,0.14,Low,36
EQ-0768,Blood Testing Device,34.4,62.16,13,Power Surge,0.416,High,63
EQ-0769,Blood Testing Device,38.0,34.25,214,Power Surge,0.549,Medium,69
EQ-0770,CT Scanner,28.75,50.74,127,Calibration Issue,0.403,High,41
EQ-0771,CT Scanner,40.85,26.25,309,Mechanical Wear,0.52,Medium,24
EQ-0772,CT Scanner,45.8,43.07,247,Overheating,0.997,Medium,49
EQ-0773,CT Scanner,43.4,49.26,28,Calibration Issue,0.135,High,18
EQ-0774,Blood Testing Device,21.19,59.13,279,Overheating,0.675,Medium,7
EQ-0775,MRI Machine,34.42,77.03,337,Power Surge,0.396,Low,4
EQ-0776,CT Scanner,23.15,56.04,318,Overheating,0.133,High,69
EQ-0777,CT Scanner,27.26,64.62,201,Mechanical Wear,0.159,Medium,60
EQ-0778,Blood Testing Device,49.6,50.38,360,Power Surge,0.949,Low,55
EQ-0779,Blood Testing Device,24.27,58.05,56,Power Surge,0.88,High,16
EQ-0780,Ventilator,34.97,24.26,217,Calibration Issue,0.907,Low,29
EQ-0781,CT Scanner,38.54,35.26,61,Mechanical Wear,0.992,Low,23
EQ-0782,Ventilator,41.07,41.71,156,Power Surge,0.208,Low,14
EQ-0783,Blood Testing Device,36.79,48.35,201,Mechanical Wear,0.355,Medium,49
EQ-0784,Blood Testing Device,20.29,22.74,16,Overheating,0.669,High,33
EQ-0785,MRI Machine,29.79,28.4,321,Mechanical Wear,0.484,High,25
EQ-0786,CT Scanner,35.53,36.61,5,Power Surge,0.418,Medium,21
EQ-0787,Ventilator,22.64,78.29,57,Calibration Issue,0.358,High,17
EQ-0788,Blood Testing Device,30.52,39.88,324,Power Surge,0.594,Low,23
EQ-0789,Blood Testing Device,21.0,48.92,317,Mechanical Wear,0.576,High,57
EQ-0790,Ventilator,22.36,31.77,168,Mechanical Wear,0.161,Medium,58
EQ-0791,MRI Machine,31.91,56.65,81,Power Surge,0.472,Low,14
EQ-0792,Blood Testing Device,23.98,36.84,218,Mechanical Wear,0.553,Medium,20
EQ-0793,CT Scanner,37.03,32.42,176,Overheating,0.57,Low,30
EQ-0794,Blood Testing Device,40.68,50.99,203,Power Surge,0.21,Low,19
EQ-0795,CT Scanner,44.02,20.33,70,Calibration Issue,0.742,High,53
EQ-0796,Ventilator,26.0,20.46,265,Power Surge,0.025,Low,56
EQ-0797,CT Scanner,25.02,33.14,97,Overheating,0.355,Medium,23
EQ-0798,Ventilator,23.14,22.2,344,Overheating,0.78,High,62
EQ-0799,CT Scanner,39.09,26.48,290,Overheating,0.564,Medium,33
EQ-0800,Ventilator,41.19,40.33,207,Overheating,0.261,Low,18
EQ-0801,CT Scanner,20.95,68.16,1,Overheating,0.695,Medium,33
EQ-0802,MRI Machine,48.09,54.32,123,Calibration Issue,0.567,Medium,32
EQ-0803,CT Scanner,21.56,50.76,279,Mechanical Wear,0.796,Low,61
EQ-0804,CT Scanner,36.24,37.61,73,Overheating,0.735,High,54
EQ-0805,MRI Machine,41.27,75.91,165,Overheating,0.61,Medium,17
EQ-0806,Blood Testing Device,46.13,43.82,21,Power Surge,0.488,Low,19
EQ-0807,Blood Testing Device,41.42,25.23,153,Calibration Issue,0.133,High,70
EQ-0808,CT Scanner,44.05,57.02,294,Calibration Issue,0.261,High,34
EQ-0809,MRI Machine,30.18,26.83,218,Mechanical Wear,0.419,High,25
EQ-0810,CT Scanner,44.44,40.71,156,Calibration Issue,0.599,Medium,68
EQ-0811,Ventilator,22.4,50.44,229,Power Surge,0.514,Medium,11
EQ-0812,Ventilator,46.84,72.45,19,Power Surge,0.288,Medium,16
EQ-0813,CT Scanner,36.43,49.61,40,Mechanical Wear,0.006,High,61
EQ-0814,Blood Testing Device,44.52,62.14,147,Power Surge,0.496,Medium,7
EQ-0815,Blood Testing Device,33.57,79.57,107,Overheating,0.286,Low,16
EQ-0816,CT Scanner,39.31,27.89,83,Overheating,0.735,Medium,16
EQ-0817,CT Scanner,35.79,36.48,321,Power Surge,0.024,Medium,40
EQ-0818,Ventilator,41.95,43.67,308,Mechanical Wear,0.585,High,12
EQ-0819,Blood Testing Device,22.45,45.31,289,Calibration Issue,0.941,Medium,35
EQ-0820,CT Scanner,21.81,44.66,322,Mechanical Wear,0.174,Low,21
EQ-0821,Ventilator,27.41,74.46,133,Calibration Issue,0.472,High,50
EQ-0822,Blood Testing Device,24.79,62.84,206,Power Surge,0.091,Low,43
EQ-0823,MRI Machine,46.15,56.47,282,Power Surge,0.626,High,17
EQ-0824,Ventilator,26.58,38.56,265,Overheating,0.551,High,32
EQ-0825,Blood Testing Device,49.28,69.43,72,Calibration Issue,0.407,Medium,41
EQ-0826,Blood Testing Device,30.11,77.3,351,Mechanical Wear,0.521,Low,6
EQ-0827,Ventilator,25.46,69.27,47,Power Surge,0.897,High,27
EQ-0828,MRI Machine,43.69,20.09,325,Mechanical Wear,0.196,Medium,20
EQ-0829,Ventilator,39.76,58.18,232,Overheating,0.023,High,25
EQ-0830,Blood Testing Device,34.95,23.07,99,Calibration Issue,0.862,High,66
EQ-0831,CT Scanner,36.66,35.46,58,Calibration Issue,0.577,High,9
EQ-0832,CT Scanner,41.58,23.57,257,Power Surge,0.891,High,53
EQ-0833,Ventilator,26.85,56.23,64,Calibration Issue,0.597,High,61
EQ-0834,Blood Testing Device,49.89,61.2,82,Power Surge,0.81,High,38
EQ-0835,CT Scanner,49.24,26.87,153,Overheating,0.43,Medium,3
EQ-0836,Blood Testing Device,39.51,43.03,265,Calibration Issue,0.75,High,70
EQ-0837,Ventilator,25.99,47.37,308,Power Surge,0.913,Low,55
EQ-0838,CT Scanner,40.41,42.14,78,Mechanical Wear,0.572,Medium,1
EQ-0839,Blood Testing Device,22.17,27.26,314,Power Surge,0.181,Low,70
EQ-0840,CT Scanner,20.92,45.14,149,Calibration Issue,0.269,High,45
EQ-0841,Ventilator,27.73,65.07,47,Overheating,0.199,Low,47
EQ-0842,Blood Testing Device,33.88,24.26,247,Calibration Issue,0.247,High,26
EQ-0843,CT Scanner,46.05,24.81,277,Calibration Issue,0.306,High,14
EQ-0844,Ventilator,41.82,41.29,355,Power Surge,0.555,Medium,54
EQ-0845,CT Scanner,42.28,76.5,97,Mechanical Wear,0.588,Medium,71
EQ-0846,CT Scanner,32.76,60.11,24,Calibration Issue,0.426,High,46
EQ-0847,MRI Machine,30.38,60.72,283,Mechanical Wear,0.615,Medium,31
EQ-0848,MRI Machine,31.13,41.72,300,Power Surge,0.082,Low,59
EQ-0849,Ventilator,49.63,55.62,67,Mechanical Wear,0.088,Medium,29
EQ-0850,MRI Machine,21.2,20.61,6,Power Surge,0.172,Medium,17
EQ-0851,Ventilator,46.01,58.17,304,Overheating,0.518,Low,14
EQ-0852,MRI Machine,37.36,74.8,136,Mechanical Wear,0.214,Medium,36
EQ-0853,CT Scanner,33.16,56.75,163,Mechanical Wear,0.283,High,58
EQ-0854,Ventilator,41.76,72.42,82,Overheating,0.4,Low,24
EQ-0855,Ventilator,34.6,63.44,137,Mechanical Wear,0.812,High,63
EQ-0856,CT Scanner,46.2,27.23,72,Overheating,0.014,Low,25
EQ-0857,Ventilator,47.02,74.15,236,Calibration Issue,0.649,High,59
EQ-0858,Ventilator,32.65,23.99,45,Power Surge,0.669,High,32
EQ-0859,MRI Machine,28.3,52.04,105,Overheating,0.799,Medium,18
EQ-0860,Ventilator,37.77,28.53,287,Mechanical Wear,0.933,High,37
EQ-0861,Blood Testing Device,47.37,20.7,261,Overheating,0.02,Medium,26
EQ-0862,CT Scanner,26.32,45.32,175,Mechanical Wear,0.154,Low,9
EQ-0863,MRI Machine,38.69,37.7,165,Calibration Issue,0.886,High,64
EQ-0864,MRI Machine,38.95,49.16,144,Overheating,0.459,High,20
EQ-0865,Blood Testing Device,41.99,54.63,329,Calibration Issue,0.565,Low,54
EQ-0866,CT Scanner,23.95,22.62,282,Power Surge,0.663,Low,30
EQ-0867,CT Scanner,41.47,27.38,53,Mechanical Wear,0.679,High,53
EQ-0868,MRI Machine,47.27,53.52,177,Mechanical Wear,0.932,Low,63
EQ-0869,Ventilator,25.39,40.59,243,Calibration Issue,0.997,Medium,11
EQ-0870,MRI Machine,27.13,63.75,340,Power Surge,0.72,Low,31
EQ-0871,CT Scanner,49.14,59.14,126,Overheating,0.287,Low,49
EQ-0872,Blood Testing Device,25.43,70.74,270,Overheating,0.88,High,19
EQ-0873,MRI Machine,45.63,61.55,131,Mechanical Wear,0.049,Medium,12
EQ-0874,CT Scanner,34.77,45.8,92,Calibration Issue,0.231,Low,15
EQ-0875,MRI Machine,27.42,60.38,72,Calibration Issue,0.897,Medium,31
EQ-0876,Ventilator,46.12,36.52,247,Overheating,0.256,Medium,43
EQ-0877,MRI Machine,33.36,38.38,347,Power Surge,0.221,Medium,37
EQ-0878,MRI Machine,35.44,67.34,272,Power Surge,0.138,High,29
EQ-0879,CT Scanner,30.78,46.79,42,Overheating,0.859,Low,26
EQ-0880,CT Scanner,37.79,67.9,40,Overheating,0.5,High,2
EQ-0881,CT Scanner,24.91,69.35,169,Calibration Issue,0.675,Low,15
EQ-0882,MRI Machine,31.73,71.45,211,Power Surge,0.239,Low,4
EQ-0883,Ventilator,49.08,75.0,167,Overheating,0.758,High,50
EQ-0884,Blood Testing Device,27.74,45.86,38,Overheating,0.76,Medium,38
EQ-0885,Blood Testing Device,39.7,39.13,244,Mechanical Wear,0.313,Medium,23
EQ-0886,CT Scanner,29.76,54.93,150,Overheating,0.411,Low,59
EQ-0887,CT Scanner,43.2,42.27,110,Overheating,0.21,High,28
EQ-0888,MRI Machine,23.93,56.06,46,Power Surge,0.977,Medium,66
EQ-0889,Blood Testing Device,49.09,62.34,62,Calibration Issue,0.646,Medium,8
EQ-0890,CT Scanner,33.61,61.3,224,Power Surge,0.935,Low,29
EQ-0891,Ventilator,27.08,42.47,68,Calibration Issue,0.303,Low,11
EQ-0892,Ventilator,22.2,30.01,298,Mechanical Wear,0.782,High,18
EQ-0893,CT Scanner,25.09,45.83,289,Overheating,0.766,Low,55
EQ-0894,CT Scanner,35.59,28.56,295,Mechanical Wear,0.692,Medium,50
EQ-0895,Blood Testing Device,30.11,73.41,202,Calibration Issue,0.966,Medium,14
EQ-0896,Blood Testing Device,44.87,40.75,60,Power Surge,0.394,Medium,9
EQ-0897,MRI Machine,32.93,29.27,317,Power Surge,0.131,Medium,11
EQ-0898,Blood Testing Device,27.46,21.53,313,Mechanical Wear,0.672,High,63
EQ-0899,Ventilator,38.51,58.75,160,Calibration Issue,0.729,High,67
EQ-0900,Ventilator,41.2,58.21,330,Mechanical Wear,0.575,Low,53
EQ-0901,CT Scanner,25.01,40.44,15,Mechanical Wear,0.207,Low,39
EQ-0902,Blood Testing Device,25.03,24.3,337,Overheating,0.504,Low,56
EQ-0903,MRI Machine,21.1,44.58,93,Mechanical Wear,0.312,High,28
EQ-0904,Ventilator,42.09,38.67,303,Overheating,0.427,Medium,39
EQ-0905,Ventilator,39.91,60.63,137,Overheating,0.645,Low,25
EQ-0906,MRI Machine,34.24,56.35,337,Power Surge,0.745,Medium,21
EQ-0907,MRI Machine,45.33,41.88,37,Overheating,0.232,Low,10
EQ-0908,Ventilator,44.17,33.07,126,Overheating,0.405,Low,43
EQ-0909,Ventilator,37.56,79.28,274,Power Surge,0.269,Low,15
EQ-0910,MRI Machine,46.05,47.24,163,Mechanical Wear,0.199,Low,48
EQ-0911,Ventilator,26.18,61.3,318,Calibration Issue,0.783,Low,21
EQ-0912,CT Scanner,23.36,28.43,76,Calibration Issue,0.909,Medium,60
EQ-0913,CT Scanner,28.09,49.14,173,Calibration Issue,0.37,Low,50
EQ-0914,MRI Machine,21.71,21.65,357,Mechanical Wear,0.751,Medium,23
EQ-0915,Blood Testing Device,35.94,50.33,320,Overheating,0.897,High,13
EQ-0916,MRI Machine,48.1,77.84,90,Calibration Issue,0.846,Low,69
EQ-0917,MRI Machine,21.18,43.05,237,Mechanical Wear,0.183,Medium,4
EQ-0918,Blood Testing Device,23.66,22.34,263,Overheating,0.956,High,9
EQ-0919,Blood Testing Device,33.57,21.86,178,Power Surge,0.377,High,35
EQ-0920,Blood Testing Device,48.02,43.28,208,Calibration Issue,0.339,High,21
EQ-0921,CT Scanner,29.48,29.6,72,Overheating,0.062,Medium,58
EQ-0922,Ventilator,35.22,21.4,106,Calibration Issue,0.486,Low,18
EQ-0923,CT Scanner,21.25,65.37,344,Calibration Issue,0.109,Low,43
EQ-0924,Ventilator,24.45,47.51,294,Calibration Issue,0.249,Medium,6
EQ-0925,CT Scanner,49.6,37.35,283,Overheating,0.317,Low,67
EQ-0926,Ventilator,48.95,74.0,352,Mechanical Wear,0.809,Medium,12
EQ-0927,CT Scanner,20.15,26.97,181,Overheating,0.875,Low,12
EQ-0928,Blood Testing Device,48.55,77.36,36,Calibration Issue,0.302,High,66
EQ-0929,MRI Machine,39.17,38.84,136,Overheating,0.859,Low,2
EQ-0930,CT Scanner,46.04,73.3,337,Power Surge,0.857,Medium,15
EQ-0931,Ventilator,33.64,56.18,55,Mechanical Wear,0.765,Medium,23
EQ-0932,Blood Testing Device,35.47,69.6,186,Overheating,0.147,High,29
EQ-0933,CT Scanner,34.67,79.04,340,Power Surge,0.69,Medium,7
EQ-0934,CT Scanner,40.01,37.3,257,Mechanical Wear,0.945,Low,28
EQ-0935,Blood Testing Device,24.19,77.67,57,Power Surge,0.683,Low,14
EQ-0936,CT Scanner,20.9,43.37,362,Mechanical Wear,0.332,High,44
EQ-0937,MRI Machine,29.24,43.13,122,Overheating,0.501,Medium,30
EQ-0938,CT Scanner,41.14,40.42,187,Power Surge,0.646,High,32
EQ-0939,MRI Machine,26.06,52.48,229,Calibration Issue,0.511,Low,70
EQ-0940,MRI Machine,40.2,29.25,167,Power Surge,0.12,High,6
EQ-0941,Blood Testing Device,49.1,53.22,113,Mechanical Wear,0.312,Medium,27
EQ-0942,CT Scanner,22.82,52.5,251,Overheating,0.802,High,24
EQ-0943,Blood Testing Device,40.18,65.71,106,Mechanical Wear,0.861,Medium,34
EQ-0944,CT Scanner,33.31,70.02,36,Power Surge,0.137,Medium,40
EQ-0945,CT Scanner,46.04,46.43,334,Power Surge,0.952,Low,47
EQ-0946,Ventilator,25.31,38.14,91,Calibration Issue,0.329,Low,24
EQ-0947,CT Scanner,40.78,35.56,17,Overheating,0.662,Low,65
EQ-0948,Blood Testing Device,45.14,31.68,353,Overheating,0.752,Medium,18
EQ-0949,MRI Machine,48.34,23.46,62,Power Surge,0.812,High,44
EQ-0950,CT Scanner,40.5,40.55,149,Overheating,0.946,Medium,57
EQ-0951,Ventilator,34.92,36.21,138,Calibration Issue,0.313,Low,28
EQ-0952,Blood Testing Device,38.54,77.99,185,Mechanical Wear,0.859,Low,71
EQ-0953,CT Scanner,46.07,53.46,184,Overheating,0.132,High,23
EQ-0954,Blood Testing Device,37.12,40.84,204,Power Surge,0.705,Low,34
EQ-0955,Ventilator,20.91,54.83,259,Mechanical Wear,0.742,Low,11
EQ-0956,Ventilator,47.93,28.35,213,Mechanical Wear,0.678,Low,35
EQ-0957,Blood Testing Device,40.69,46.64,255,Calibration Issue,0.252,High,42
EQ-0958,CT Scanner,40.3,57.57,134,Power Surge,0.873,Medium,28
EQ-0959,MRI Machine,26.47,49.33,60,Overheating,0.169,Low,24
EQ-0960,Ventilator,39.77,44.11,362,Power Surge,0.054,High,8
EQ-0961,CT Scanner,31.82,79.63,309,Mechanical Wear,0.717,Low,53
EQ-0962,CT Scanner,39.54,72.82,87,Power Surge,0.475,High,4
EQ-0963,MRI Machine,23.2,57.4,323,Overheating,0.849,Low,5
EQ-0964,Ventilator,39.74,54.16,206,Overheating,0.383,High,49
EQ-0965,Ventilator,49.98,57.24,128,Calibration Issue,0.168,Low,30
EQ-0966,CT Scanner,21.45,32.08,310,Overheating,0.836,Medium,63
EQ-0967,CT Scanner,49.32,43.71,2,Overheating,0.549,Low,47
EQ-0968,MRI Machine,32.21,22.37,241,Power Surge,0.189,High,26
EQ-0969,MRI Machine,46.12,48.53,120,Power Surge,0.72,Low,57
EQ-0970,Ventilator,43.47,52.58,101,Mechanical Wear,0.511,Medium,37
EQ-0971,Blood Testing Device,37.01,33.66,37,Calibration Issue,0.604,Low,7
EQ-0972,Ventilator,42.15,77.84,340,Power Surge,0.461,High,40
EQ-0973,CT Scanner,46.36,74.57,132,Overheating,0.829,High,39
EQ-0974,Ventilator,32.12,63.33,201,Mechanical Wear,0.83,Medium,62
EQ-0975,Blood Testing Device,29.81,52.0,347,Power Surge,0.709,High,53
EQ-0976,MRI Machine,40.03,72.2,20,Calibration Issue,0.105,Low,4
EQ-0977,Blood Testing Device,44.24,27.84,241,Calibration Issue,0.839,Low,25
EQ-0978,Blood Testing Device,42.87,67.43,108,Mechanical Wear,0.671,Low,7
EQ-0979,Blood Testing Device,43.93,27.49,302,Mechanical Wear,0.697,High,28
EQ-0980,MRI Machine,33.07,67.65,83,Mechanical Wear,0.363,Low,69
EQ-0981,Blood Testing Device,44.54,36.55,82,Mechanical Wear,0.879,Low,67
EQ-0982,Blood Testing Device,23.61,72.63,290,Mechanical Wear,0.725,Low,20
EQ-0983,Blood Testing Device,36.33,76.64,68,Overheating,0.113,Medium,11
EQ-0984,CT Scanner,20.17,28.93,128,Overheating,0.408,High,67
EQ-0985,Blood Testing Device,29.74,47.76,195,Power Surge,0.886,High,7
EQ-0986,MRI Machine,30.99,78.86,139,Calibration Issue,0.047,High,23
EQ-0987,Blood Testing Device,31.89,49.0,282,Overheating,0.961,Medium,61
EQ-0988,Blood Testing Device,40.86,71.81,311,Overheating,0.679,High,71
EQ-0989,MRI Machine,31.66,55.32,233,Overheating,0.631,Medium,34
EQ-0990,Blood Testing Device,33.46,42.52,22,Power Surge,0.271,Medium,19
EQ-0991,MRI Machine,27.13,37.15,152,Mechanical Wear,0.249,High,58
EQ-0992,Blood Testing Device,31.2,32.19,276,Power Surge,0.942,Low,9
EQ-0993,MRI Machine,26.82,65.71,60,Calibration Issue,0.298,Low,48
EQ-0994,Blood Testing Device,22.2,43.19,318,Calibration Issue,0.776,High,41
EQ-0995,Blood Testing Device,38.1,50.68,51,Calibration Issue,0.393,High,48
EQ-0996,CT Scanner,40.05,49.54,343,Calibration Issue,0.139,Medium,45
EQ-0997,CT Scanner,38.58,54.64,152,Overheating,0.011,High,25
EQ-0998,Blood Testing Device,33.9,71.93,236,Overheating,0.544,Medium,25
EQ-0999,Blood Testing Device,31.39,78.84,310,Power Surge,0.976,High,19
EQ-1000,Ventilator,45.9,44.46,301,Mechanical Wear,0.369,Low,39
